4.2;-29.582;0;2.2
4.22;-28.44;0;2.22
4.24;-27.385;0;2.24
4.26;-27.824;0;2.26
4.28;-28;0;2.28
4.3;-29.143;0;2.3
4.32;-28.791;0;2.32
4.34;-27.56;0;2.34
4.36;-28.176;0;2.36
4.38;-28.703;0;2.38
4.4;-29.231;0;2.4
4.42;-27.824;0;2.42
4.44;-27.385;0;2.44
4.46;-27.736;0;2.46
4.48;-29.055;0;2.48
4.5;-29.319;0;2.5
4.52;-27.297;0;2.52
4.54;-27.121;0;2.54
4.56;-27.736;0;2.56
4.58;-28.703;0;2.58
4.6;-29.582;0;2.6
4.62;-28.352;0;2.62
4.64;-27.473;0;2.64
4.66;-27.824;0;2.66
4.68;-28.703;0;2.68
4.7;-29.494;0;2.7
4.72;-28;0;2.72
4.74;-26.945;0;2.74
4.76;-28;0;2.76
4.78;-29.055;0;2.78
4.8;-29.231;0;2.8
4.82;-27.033;0;2.82
4.84;-27.209;0;2.84
4.86;-27.648;0;2.86
4.88;-29.319;0;2.88
4.9;-29.494;0;2.9
4.92;-27.56;0;2.92
4.94;-26.945;0;2.94
4.96;-28;0;2.96
4.98;-28.791;0;2.98
5;-29.406;0;3
5.02;-27.648;0;3.02
5.04;-27.033;0;3.04
5.06;-28.176;0;3.06
5.08;-29.231;0;3.08
5.1;-28.791;0;3.1
5.12;-26.506;0;3.12
5.14;-26.682;0;3.14
5.16;-28.264;0;3.16
5.18;-29.67;0;3.18
5.2;-28.879;0;3.2
5.22;-26.506;0;3.22
5.24;-26.857;0;3.24
5.26;-28.264;0;3.26
5.28;-29.231;0;3.28
5.3;-29.406;0;3.3
5.32;-27.033;0;3.32
5.34;-27.121;0;3.34
5.36;-28.264;0;3.36
5.38;-29.319;0;3.38
5.4;-28.791;0;3.4
5.42;-26.769;0;3.42
5.44;-27.033;0;3.44
5.46;-28.879;0;3.46
5.48;-29.582;0;3.48
5.5;-28.176;0;3.5
5.52;-26.594;0;3.52
5.54;-27.209;0;3.54
5.56;-28;0;3.56
5.58;-29.494;0;3.58
5.6;-28.879;0;3.6
5.62;-26.945;0;3.62
5.64;-27.56;0;3.64
5.66;-28.879;0;3.66
5.68;-29.319;0;3.68
5.7;-28.527;0;3.7
5.72;-26.857;0;3.72
5.74;-27.736;0;3.74
5.76;-28.967;0;3.76
